Repository,Error
merenlab/anvio,0.009465340826812108
mindsdb/mindsdb,0.010393932607764262
lllyasviel/ControlNet,0.014866343764291844
pandas-dev/pandas,0.0085611868187576
comfyanonymous/ComfyUI,0.013298319976855192
facebookresearch/detectron2,0.01294108913198335
pytorch/audio,0.013048026991121916
borgbackup/borg,0.020360644590125536
lm-sys/FastChat,0.0295960589629211
OpenBB-finance/OpenBBTerminal,0.005552199745297943
frappe/erpnext,0.004325358383372732
huggingface/pytorch-image-models,0.013988421117100365
geekcomputers/Python,0.018398005708731804
httpie/cli,0.012816881685052935
huggingface/transformers,0.008746750425703146
unifyai/ivy,0.005411610133706066
mitmproxy/mitmproxy,0.013856425259710156
Textualize/rich,0.006217187110840868
Mikubill/sd-webui-controlnet,0.012717281036155222
spotDL/spotify-downloader,0.007526019227054009
pytorch/pytorch,0.009856151800353916
XX-net/XX-Net,0.01782484291716416
mlc-ai/mlc-llm,0.019820178914241846
ddbourgin/numpy-ml,0.015554802759147827
zhayujie/chatgpt-on-wechat,0.02434389512500717
PaddlePaddle/PaddleOCR,0.016976804043771415
powerline/powerline,0.014727230162064793
ludwig-ai/ludwig,0.014744448639575131
babysor/MockingBird,0.019451217797494588
commaai/openpilot,0.02058383081025927
twitter/the-algorithm-ml,0.014544321796860596
aws/aws-cli,0.010035202850741954
smicallef/spiderfoot,0.00815356837333028
matplotlib/matplotlib,0.02269220763988734
jina-ai/jina,0.008696340871224327
saltstack/salt,0.0066949372980844675
HumanSignal/label-studio,0.010253076562905918
python-telegram-bot/python-telegram-bot,0.00929828066711567
encode/django-rest-framework,0.01625963523616539
scrapy/scrapy,0.01606790683673312
Lightning-AI/lightning,0.010334173373442427
certbot/certbot,0.012276073936564488
open-mmlab/mmdetection,0.009457087128838046
localstack/localstack,0.007065316456444594
sqlmapproject/sqlmap,0.038052393496180295
aio-libs/aiohttp,0.011317610505607001
ytdl-org/youtube-dl,0.01011769492973013
karlproject/karl,0.016997223602675908
ray-project/ray,0.0068902922804395745
microsoft/nni,0.017484438890279078
networkx/networkx,0.015433914359187322
PaddlePaddle/PaddleNLP,0.014256612122794369
gunthercox/ChatterBot,0.007478568755134395
ranger/ranger,0.014329344703556405
huggingface/diffusers,0.0063674834431221615
RaRe-Technologies/gensim,0.012610499894822077
apache/tvm,0.022188734372890397
microsoft/DeepSpeed,0.013075454788082735
LAION-AI/Open-Assistant,0.01506891323134725
spotify/luigi,0.021726807270724815
yt-dlp/yt-dlp,0.012259070012250923
horovod/horovod,0.01333200721177727
ansible/ansible,0.01416158901024179
streamlit/streamlit,0.01067951661123481
PrefectHQ/prefect,0.005726287137077833
pyecharts/pyecharts,0.01111760572299528
pytorch/vision,0.022114908217689865
freqtrade/freqtrade,0.005559313850800979
pyodide/pyodide,0.016466750025200556
openai/gym,0.010341743547862992
ipython/ipython,0.009252069918221072
RasaHQ/rasa,0.005044382358614565
reflex-dev/reflex,0.00788509790001974
jantic/DeOldify,0.04616858507403895
