Repository,Error
merenlab/anvio,0.02203697641819709
mindsdb/mindsdb,0.057899603821870996
lllyasviel/ControlNet,0.014581513885356737
pandas-dev/pandas,0.06982946496559546
comfyanonymous/ComfyUI,0.0060194715361968154
facebookresearch/detectron2,0.02869576487361624
pytorch/audio,0.07598518256733418
borgbackup/borg,0.05371274120996274
lm-sys/FastChat,0.03044189255526197
OpenBB-finance/OpenBBTerminal,0.0779167732895097
frappe/erpnext,0.06207179223928365
huggingface/pytorch-image-models,0.009030621992236379
geekcomputers/Python,0.03864120521538752
httpie/cli,0.07671984043158298
huggingface/transformers,0.021766032558186755
unifyai/ivy,0.2029382456189073
mitmproxy/mitmproxy,0.07285177721462326
Textualize/rich,0.016109419840318353
Mikubill/sd-webui-controlnet,0.023502124108535565
spotDL/spotify-downloader,0.04367328009435101
pytorch/pytorch,0.05227696721323731
XX-net/XX-Net,0.01723535008062181
mlc-ai/mlc-llm,0.07084241782656958
ddbourgin/numpy-ml,0.06342139356704411
zhayujie/chatgpt-on-wechat,0.01534238151013422
PaddlePaddle/PaddleOCR,0.011014611848340648
powerline/powerline,0.07267181361888361
ludwig-ai/ludwig,0.052835530347820125
babysor/MockingBird,0.012922334060654562
commaai/openpilot,0.0054373952570093455
twitter/the-algorithm-ml,0.026389581291287913
aws/aws-cli,0.09932189946786138
smicallef/spiderfoot,0.026315201176761536
matplotlib/matplotlib,0.02278229732644801
jina-ai/jina,0.08758089232960574
saltstack/salt,0.1114796249972227
HumanSignal/label-studio,0.050872450717476
python-telegram-bot/python-telegram-bot,0.10941177518193279
encode/django-rest-framework,0.07094143475608251
scrapy/scrapy,0.12037286845845113
Lightning-AI/lightning,0.06099134483668583
certbot/certbot,0.08250603974403897
open-mmlab/mmdetection,0.027284283928474873
localstack/localstack,0.11904534806580415
sqlmapproject/sqlmap,0.00393937170821325
aio-libs/aiohttp,0.040058916660921366
ytdl-org/youtube-dl,0.02913888254395777
karlproject/karl,0.11251720212443861
ray-project/ray,0.06855330866211595
microsoft/nni,0.030342405590287436
networkx/networkx,0.0889332229258314
PaddlePaddle/PaddleNLP,0.029448555191085385
gunthercox/ChatterBot,0.11802379415600063
ranger/ranger,0.016326809960212525
huggingface/diffusers,0.008912025825868886
RaRe-Technologies/gensim,0.0396716937703523
apache/tvm,0.009181621434508748
microsoft/DeepSpeed,0.017039503510363402
LAION-AI/Open-Assistant,0.018821725343484443
spotify/luigi,0.0677944317279571
yt-dlp/yt-dlp,0.03569938928101191
horovod/horovod,0.014606706046379678
ansible/ansible,0.02108979451184966
streamlit/streamlit,0.13929824639351152
PrefectHQ/prefect,0.13337641073696507
pyecharts/pyecharts,0.1796181275675824
pytorch/vision,0.01915225632178002
freqtrade/freqtrade,0.022405856620891482
pyodide/pyodide,0.23235846978276908
openai/gym,0.007114707438861318
ipython/ipython,0.045853907913927794
RasaHQ/rasa,0.10935437088692797
reflex-dev/reflex,0.0827029134999431
jantic/DeOldify,0.01657432376533425
