metric,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CLOC,3,2,11,8,18,20,29,21,22,30,31,37,40,42,61,64,67,73,74
DLOC,4,6,7,10,14,18,26,32,25,31,36,45,34,52,54,60,66,69,74
HCPL,0,4,10,12,17,21,24,18,23,31,36,38,52,55,65,71,72,74,74
HDIF,2,4,6,7,12,15,14,21,21,24,27,25,31,34,35,35,39,41,64
HEFF,70,71,72,74,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74
HNDB,0,7,8,7,10,12,16,22,23,27,35,26,33,32,41,40,34,32,16
HPL,0,3,6,13,15,15,15,23,16,25,34,33,46,44,48,53,62,71,74
HPV,0,0,3,8,13,12,11,26,24,35,32,34,29,32,46,55,59,65,74
HTRP,0,1,2,11,7,10,14,19,29,26,28,33,28,36,34,42,46,55,72
HVOL,4,6,18,15,20,28,35,45,57,58,67,70,74,74,74,74,74,74,74
LLOC,6,7,12,17,25,28,29,42,41,50,52,54,58,69,69,71,74,74,74
LOC,7,13,9,15,24,36,46,54,45,53,56,66,72,72,74,74,74,74,74
MI,21,42,56,66,73,71,72,74,74,74,74,74,74,74,74,74,74,74,74
McCC,0,2,8,9,9,12,18,25,22,29,28,34,36,41,44,40,53,58,72
NOI,0,4,12,11,6,12,15,19,19,27,37,37,38,32,39,41,42,58,73
NOS,1,4,4,10,17,20,24,26,37,29,39,37,64,57,58,66,73,73,74
NUMPAR,2,5,8,8,10,15,15,11,21,23,29,29,33,41,44,54,59,71,73
TCLOC,2,7,4,11,19,15,22,25,27,25,32,43,35,54,49,61,70,74,74
TLLOC,6,7,10,18,18,28,32,26,45,48,49,59,58,65,68,72,73,74,74
TLOC,12,20,21,27,28,37,40,43,59,61,62,67,74,72,74,74,74,74,74
TNOS,8,7,9,13,16,19,21,20,36,34,30,47,53,58,59,63,73,74,74
