metric,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CBO,0,0,0,0,0,0,1,0,2,5,4,11,24,27,30,45,58,65,65
CLOC,0,0,1,9,33,39,54,64,68,70,72,73,74,73,74,74,74,74,74
DIT,0,0,0,0,0,0,0,1,2,3,3,3,4,8,17,27,33,53,69
LCOM5,0,0,0,0,0,0,0,2,2,8,12,15,21,32,47,53,69,70,74
LLOC,2,30,68,72,73,73,73,74,74,74,74,74,74,74,74,74,74,74,74
LOC,70,70,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
NLM,0,0,0,1,0,0,0,2,5,14,22,25,40,55,63,64,71,73,74
NM,0,0,0,1,10,14,34,45,59,64,71,70,72,74,73,74,74,74,74
NOA,0,0,0,0,0,1,0,1,3,0,6,8,16,17,24,33,47,61,67
NOC,0,0,0,0,0,2,4,1,6,12,18,16,23,36,51,59,64,71,72
NOD,0,0,0,0,1,1,5,17,25,27,37,49,48,55,61,68,69,71,72
NOI,0,0,0,0,0,0,0,0,1,0,2,5,3,9,12,17,23,32,47
NOP,0,0,0,0,0,0,0,0,1,2,2,3,2,10,5,11,16,25,53
NOS,0,1,3,20,42,60,69,72,74,72,74,74,74,74,74,74,74,74,74
RFC,0,0,0,0,0,1,3,8,11,28,39,58,63,67,69,73,72,73,73
TLLOC,2,47,68,71,74,74,73,74,74,74,74,74,74,74,74,74,74,74,74
TLOC,74,74,74,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
TNLM,0,0,0,0,0,0,0,3,10,18,26,41,58,57,67,68,70,72,74
TNM,0,0,0,9,11,30,42,52,61,68,68,71,73,73,74,74,74,74,74
TNOS,0,0,9,40,48,66,67,73,73,73,74,74,74,74,74,74,74,74,74
WMC,0,0,0,0,4,9,19,29,41,54,62,70,71,73,73,74,74,74,74
