metric,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CLOC,0,0,0,1,2,7,13,22,31,39,56,64,68,71,72,73,74,74,74
DLOC,0,0,0,0,1,3,2,10,14,19,27,38,51,55,63,68,71,74,74
HCPL,0,0,0,1,6,7,26,44,63,67,72,74,74,74,74,74,74,74,74
HDIF,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,4,6,12,72
HEFF,72,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
HNDB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,3,2
HPL,0,0,0,0,0,0,1,3,6,14,18,37,55,63,71,73,74,74,74
HPV,0,0,0,0,0,1,1,0,1,3,10,11,25,46,62,70,73,74,74
HTRP,0,0,0,0,0,0,0,0,0,0,0,0,1,7,18,35,51,70,74
HVOL,2,2,33,64,66,71,74,74,74,74,74,74,74,74,74,74,74,74,74
LLOC,0,0,0,4,22,47,58,71,72,73,74,74,74,74,74,74,74,74,74
LOC,1,12,45,67,73,72,74,73,74,74,74,74,74,74,74,74,74,74,74
MI,65,72,73,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
McCC,0,0,0,0,0,0,1,0,2,0,1,2,4,6,13,26,54,72,74
NOI,0,0,0,0,0,0,0,0,0,1,2,2,2,8,7,23,41,66,74
NOS,0,0,0,0,0,6,7,13,25,41,55,63,69,74,74,74,74,74,74
NUMPAR,0,0,0,0,0,0,1,0,1,2,3,14,28,39,60,69,72,73,74
TCLOC,0,0,1,1,5,13,23,28,43,52,60,67,67,73,72,74,74,74,74
TLLOC,0,1,4,14,47,62,72,74,70,73,74,74,74,74,74,74,74,74,74
TLOC,8,61,66,71,72,74,74,74,74,74,74,74,74,74,74,74,74,74,74
TNOS,0,0,0,0,2,7,17,32,42,60,65,71,74,74,74,74,74,74,74
