Repository,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
aio-libs/aiohttp,98304,66592,589984,0,73841,639018,0,239921,2066016,0,1946225,0,913014,1029373,1965498,770046,916991,2094847,2095103
aleju/imgaug,589824,81952,98337,622640,336418,0,493680,249008,1642679,0,0,899643,887679,2092274,0,0,2096375,2096894,2093055
ansible/ansible,98304,32816,98848,0,0,92264,739380,0,897264,1152123,1432816,1017271,1942462,1959418,916734,0,2096630,0,2097147
apache/tvm,65568,0,262193,589843,99888,0,754992,0,582330,509170,1958454,1423606,890807,1045179,0,2078203,0,2091007,2095103
apollos/opencv-practice,65552,229376,102432,66850,0,364720,1671762,369212,1150014,2064818,759991,0,0,1946431,1309950,2089727,2096382,1966071,2096895
AUTOMATIC1111/stable-diffusion-webui,65568,622592,98592,106626,622768,770144,0,602787,1804594,894007,636477,0,2075896,2089403,2095026,2079991,0,2096887,2096895
aws/aws-cli,32800,66592,106528,70224,106660,0,0,81328,2031734,357234,0,0,2093237,2073335,0,0,0,2095095,2097150
babysor/MockingBird,524320,40992,69650,0,641056,100465,0,1905714,244912,766770,1795642,1434295,0,0,2089851,1829823,1832447,2096631,2095103
borgbackup/borg,65568,0,0,361504,238112,1147953,0,610740,0,881842,0,0,1026750,2096368,1045493,2076599,0,0,2097150
certbot/certbot,65568,0,589920,0,328304,360676,1131704,495670,388000,648502,239602,1178812,1694839,1825267,916607,0,2076663,2097146,2096895
cfpb/consumerfinance.gov,32800,65576,65571,599072,68658,71992,83320,1024224,246451,506915,635770,1023539,1944310,0,2091383,2094074,0,2096891,2097147
Ciphey/Ciphey,65568,69664,622608,593960,590132,0,208950,1810608,639852,1429873,605628,2089523,1682751,1962934,0,2096114,2092791,2096894,0
CMSgov/bluebutton-web-server,65568,67600,65580,0,328241,629792,988208,749618,627633,0,631547,2087986,1553595,2075510,1031038,1829631,2097075,1048574,2097147
comfyanonymous/ComfyUI,65568,65554,0,1122352,74928,1548320,1671337,0,240042,762612,1816634,2078960,2093622,1814783,1945083,2092286,0,2096383,2096895
commaai/openpilot,65552,73760,98384,42272,770064,593977,0,516148,0,1303352,1935282,1672695,1565178,1043582,2086267,2096819,0,2096119,2095103
compas-dev/compas,65568,0,65698,82017,100513,1171504,690227,1511986,116981,0,1952316,649407,1948345,0,1830835,0,0,2096126,2097087
ddbourgin/numpy-ml,32784,66080,99360,589906,99010,819251,241714,0,0,767030,258291,0,1047603,2074099,1963710,0,2091006,2080766,2096895
Delgan/loguru,65552,98305,589920,98353,99105,1280080,492641,510500,504944,1028336,0,1303163,1437305,779255,0,0,2092798,0,2097147
django/django,32800,65570,107008,1900576,114732,471088,624178,0,988340,0,1034299,0,1939194,1027571,0,1963515,1963775,0,0
dragonpilot-community/dp-devel,65552,81952,65744,233504,590392,0,256160,109684,0,1409523,1945818,1939066,0,898039,1958907,1830395,0,1961983,2097150
facebookresearch/ParlAI,65568,589856,1048626,98342,608544,0,458993,635060,1403057,904245,763380,0,912061,1945019,1027067,2077631,2077695,0,2097143
flairNLP/flair,98304,65584,65586,0,622753,98965,107626,1934378,111737,886390,652658,0,0,1044030,911231,0,1966074,2097146,2096895
