Repository,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
aio-libs/aiohttp,524304,528400,0,20816,1578128,1118739,0,1055293,954907,0,1030929,0,1900369,1048404,1957687,2072287,0,2097111,0
aleju/imgaug,2064,524312,663568,331793,268340,264982,661785,532273,815921,163508,0,760758,1744699,1039934,1023807,0,2072319,2096887,0
ansible/ansible,524304,0,794640,528913,0,6996,817232,1711312,589329,540404,0,1014482,1023801,1810237,2079702,1023967,2031485,2097111,2031615
apache/tvm,262160,4120,1058832,12624,0,531484,547985,1708722,0,801459,2004824,2088466,1940155,1998682,654975,2023135,2096855,2031551,2097119
AUTOMATIC1111/stable-diffusion-webui,4112,528400,0,557140,276504,1578516,1063452,628376,1334806,1480219,1851185,2029201,0,2088601,1048245,2088631,0,0,2096895
aws/aws-cli,1052672,1052688,135188,1069328,660528,1316945,0,923737,899664,0,0,1736600,851638,1900149,2039735,0,2096886,0,2097143
babysor/MockingBird,524304,4624,593936,102417,538648,0,15026,423058,636561,0,417521,2046928,1941023,1539766,1900349,2080629,2088919,0,0
borgbackup/borg,262160,2068,525332,143888,282772,0,932368,278162,0,644792,440956,948053,2072094,2072278,1703669,2080381,2080510,2097141,2097119
certbot/certbot,2064,36880,0,217104,266774,531505,1184466,0,1160786,1744406,498610,0,1031733,2088471,2022365,1023991,2031295,2097111,2097119
Ciphey/Ciphey,24,1048,1052692,0,30800,546872,171153,0,1645653,802389,0,1842875,1031710,0,1957725,2096821,2088701,2097111,0
comfyanonymous/ComfyUI,4112,0,0,21776,0,1578768,0,825937,0,73689,0,2006930,1686485,1941118,1957719,0,2031327,2080759,0
commaai/openpilot,262160,0,9236,6194,0,332822,0,0,1612572,759664,1613493,2046742,1744701,0,2014903,1900471,1966039,0,2097119
ddbourgin/numpy-ml,131088,1573376,14352,200722,5713,406545,539698,562835,1219377,0,1791511,964187,0,1818323,2039550,999391,0,0,2097119
Delgan/loguru,4112,4176,0,851986,537648,563504,0,1326162,987227,0,2037301,0,972699,2087379,1031806,2064283,2080447,0,2097119
django/django,524304,0,1052696,4664,534578,700944,399248,956176,605841,809878,0,2087698,2022941,0,2031261,2014967,0,2097111,0
facebookresearch/ParlAI,524304,524312,299024,593937,1579026,1448464,0,850448,0,824990,0,1965712,0,1998553,0,1048413,2088639,2031583,2097119
flairNLP/flair,4112,1114128,151568,528403,0,546962,0,1104918,1629272,1777425,0,636763,1858301,851956,1671071,2096791,2072543,2088927,0
frappe/erpnext,4112,0,69712,786484,4502,531025,563229,105625,597404,598000,1964592,638557,0,2007025,0,2056157,2097109,0,0
freqtrade/freqtrade,524304,786448,0,1085712,0,562960,621584,0,922548,794270,1637048,974419,0,2039511,2064244,2014847,2072543,2088831,0
google/jax,4112,0,6288,1053328,1086736,299440,1593968,725810,924316,726776,1891094,1498964,0,2023324,1023933,0,2088767,2080639,2097119
gradio-app/gradio,4112,4114,5264,37400,0,0,334932,1285648,1186611,843410,808635,802808,950039,802807,1834709,2096727,2080727,2088703,0
