Repository,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
saltstack/salt,65568,98336,98352,106544,622642,630834,892978,894002,894130,1025202,1811638,2090162,2090163,1963191,2090994,2091002,2091003,2091007,2095103
pytorch/audio,65568,65584,98352,98416,622642,630834,1671346,1941554,1941682,2072754,2072818,2089075,2089402,2090227,2090739,2090995,2094843,2095099,2097147
jina-ai/jina,65568,98336,98352,106544,630832,630834,630962,1024050,894130,910514,1943218,2090162,2090674,2090930,2090994,2095090,2090943,2095102,2095103
powerline/powerline,65568,65584,98352,622640,622642,892976,1679536,1941554,1942578,1680058,1958578,1959154,2090674,2090675,2090938,1959934,2091003,2091007,2097150
XX-net/XX-Net,65568,98336,98352,622640,884784,884786,893104,893106,1417906,1942706,1942707,1959091,2090418,1959411,2090739,1961719,1959935,2091007,2095103
open-mmlab/mmdetection,65568,98336,98352,98354,106546,630834,647218,1941554,1941682,1958002,2089138,2090162,2089210,2090234,2090746,2090747,2091003,2091007,2093055
HumanSignal/label-studio,65568,98336,98352,622640,630832,1679408,893104,1941554,1941682,1958065,1942707,2073779,2075890,2094321,2089915,2090743,2095091,2095099,2095103
frappe/erpnext,65568,98336,98352,106544,630832,1679408,1679410,1941554,1941618,2089010,1959026,2089146,2090106,2091258,2090746,2091263,2092795,2096891,2096895
PrefectHQ/prefect,65568,98336,98352,622640,630832,107570,631858,631986,910386,894194,910962,1042098,1042162,1959922,1046266,2090939,2095098,2093054,2093055
hpcaitech/ColossalAI,65568,98336,98352,1638434,106546,1671218,892978,385202,893170,1941746,1811698,2090162,2090226,2090234,2090238,2091002,2090751,2092799,2093055
pytorch/pytorch,65568,98336,622624,106544,884784,892976,385074,893106,894130,894138,2073266,2089650,2089658,1043706,2090739,1959931,2091003,2093051,2093055
mlc-ai/mlc-llm,65568,98320,98352,106544,1146930,630834,647218,893042,1810610,2072690,2072818,1960178,2089206,2089211,2091259,2091263,2095359,2095615,2096127
kivy/kivy,65568,65584,98352,106544,630832,106674,630962,893106,893170,1941690,2072755,2072819,1942011,2089715,2092275,2090239,2091003,2095099,2093055
Mikubill/sd-webui-controlnet,65568,65584,98352,622640,622642,630834,1941552,1417394,1695922,1941746,1958130,1960370,2090226,1963251,2092275,2092283,2092795,2093051,2097150
scrapy/scrapy,65568,98320,98352,360496,630832,630960,893104,894128,894384,1025202,1025266,1959346,2074042,1961147,2074359,2091002,2090999,2095095,2080767
openai/gym,65568,65584,98352,98354,106546,630834,1123506,893490,894006,1942194,1942710,1942970,1943030,1959922,1959930,1963966,2078715,2078719,2095103
pyecharts/pyecharts,65568,65584,106512,622640,630832,892976,894000,1680560,894640,1942705,1943218,1959601,1943283,1959611,1959675,2090995,1959935,2091007,2095103
zhayujie/chatgpt-on-wechat,65552,98336,98352,106544,630832,630960,630962,1679538,893114,1941746,1958130,1958138,2089210,2090234,2090235,2092794,2092287,2092799,2093055
ddbourgin/numpy-ml,65568,98336,65586,622640,622642,1671218,1679522,1679538,1942578,1422002,1942770,1943282,2090226,1959667,2090739,2090747,2092795,2095095,2096895
OpenBMB/ChatDev,48,98336,589872,106544,630832,630834,647218,1679538,1941618,1958066,2072758,2089019,1958139,2091258,2089723,1958911,2091003,2095099,2096895
nvbn/thefuck,65568,65584,622624,622640,630832,1155248,1286194,1679474,1941562,2072754,2072762,1827066,2089210,2091258,2092282,2095355,2092795,2092543,2096127
geekan/MetaGPT,65568,98336,98352,106544,630832,630834,1679410,1679538,1695922,1958066,2089138,2089202,2089210,2090234,2090746,2090747,2090751,2094847,2096895
ranger/ranger,65568,65584,98352,622640,1671216,630960,1941552,1941680,1941682,1696946,911026,2090162,1959610,2090738,2092730,2090998,2090999,2091007,2095103
horovod/horovod,65568,65584,98352,622640,630832,892976,892978,631026,895154,1942706,2089138,2073842,2089203,2090234,2074366,2090747,2092795,2096891,2097147
streamlit/streamlit,65568,98336,98352,98354,622642,622770,892978,893106,1941682,1942706,1959090,1959602,1959162,2090174,2090490,2090750,2091006,2091007,2093055
AUTOMATIC1111/stable-diffusion-webui,65568,98336,589872,622640,630832,892976,630962,1941554,1680562,1942194,1941747,1959091,2090674,1959922,2090679,2090743,2091003,2092799,2095103
microsoft/nni,65568,65584,98352,622640,106546,630834,892978,647346,909490,1958066,1942714,2089202,2073843,2090426,2090746,2090747,2091003,2091007,2095103
comfyanonymous/ComfyUI,65568,106496,98352,598064,106546,892976,630962,893106,1941682,2072754,2089138,2089146,2089203,2092274,2092282,2092283,2092287,2093051,2096895
smicallef/spiderfoot,65568,98336,98352,622640,106546,647216,1679410,1695800,1826866,909498,1827002,1827066,2093242,2091195,2089467,2092283,2095867,2092031,2093055
quantopian/zipline,65568,98336,98352,98354,368688,368690,884914,894002,386226,896178,1935034,1943282,2090418,2090678,2090938,2090743,2090999,2091007,2093055
twitter/the-algorithm-ml,65568,98336,98352,622640,630832,630834,631858,893106,1810610,1942194,1958578,1959091,1959410,2089715,2094323,2090995,2094843,2095102,2095103
ipython/ipython,65568,98336,622624,622640,1671216,884786,630962,1679538,893170,1941746,2073010,1958642,2089906,2090230,2090739,2090747,2090999,2095039,2096895
karlproject/karl,65552,65584,98352,622640,630832,106674,892978,1679538,1941682,1958066,1942258,2090162,2090226,2074362,2093811,2090750,2092795,2091007,2095103
encode/django-rest-framework,65568,65584,98352,360496,884784,892976,893104,894128,894129,893619,1942707,911027,1959603,1959667,2090679,2090995,2090751,2091007,2095103
ray-project/ray,65568,98336,98352,98354,622642,884786,892978,893106,1941682,1942706,1959090,2090162,2090226,2090482,2090490,2091002,2091003,2091007,2093055
PaddlePaddle/PaddleOCR,65568,65584,98352,622640,630832,1679408,1679410,1679538,1679542,1942706,1959090,1959154,1959155,1959418,2092723,2090743,2092795,2093051,2093055
nicolargo/glances,65568,65584,106528,622640,630832,630834,647218,893106,1941682,1958066,1958067,1958075,2089150,2091506,2092282,2092787,2092795,2092799,2096895
mlflow/mlflow,65568,98336,98352,98354,622642,884786,630962,1941554,1941682,1958066,1958074,2089146,2089210,2089659,2090746,2092283,2091003,2093051,2093055
certbot/certbot,65568,98336,98352,622640,106546,892976,892978,894002,1942578,1942706,1041586,1958642,2073850,2090426,2090490,2090750,2091006,2091007,2095103
aleju/imgaug,65568,98336,98322,106530,622642,622770,1671346,894002,1941682,1958066,1942714,2090162,2089714,2090738,1959675,2092794,2091003,2092799,2093055
huggingface/diffusers,65568,98336,98352,622640,622642,630834,630962,762034,1810610,2072754,2089138,2090162,2089210,1827579,2090235,2092790,2092287,2092799,2097147
huggingface/transformers,65568,65584,589872,622640,622642,630834,892978,894002,1957938,2089010,910578,2073786,1958387,2094322,2090746,2090995,2091003,2094847,2093055
python-telegram-bot/python-telegram-bot,65568,98336,98352,622640,622642,630834,892978,894002,894130,779442,894706,2074290,2090674,2094770,2090746,2094842,2090751,2092799,2095103
reflex-dev/reflex,98304,98336,98352,98480,360498,892976,368818,893106,893618,894134,1024946,1942711,1959347,2077427,1959926,1959871,2090943,2095095,2095103
hankcs/HanLP,65568,98336,98352,622640,630832,892976,892978,893106,1024178,1958066,1942258,1959154,1963250,2090426,2090746,2091002,2092798,2095099,2095103
mindsdb/mindsdb,65568,65584,98352,106544,630832,630834,1679410,1679538,1941682,1942706,1942770,1959154,2089651,2090227,2090683,2090743,2094846,2095102,2095103
pypa/pipenv,65568,65584,98352,360496,884784,884912,884914,894128,893362,893626,1943218,2074290,1943286,2074610,2090742,2091002,2091006,2091007,2095103
explosion/spaCy,65568,65584,98352,622640,630832,630834,1679410,1695794,1957938,1958066,2089138,2089202,2089210,2089211,2091259,2091515,2091519,2092543,2096127
freqtrade/freqtrade,65568,98336,589872,622640,106546,630834,892978,1680434,1680050,1942582,648690,2073782,2074038,2090167,1947638,2090998,2090943,2091007,2097150
tiangolo/fastapi,65568,98336,98352,106544,106548,1671217,623284,631861,894260,631359,894390,1943095,894903,1943415,1959359,2090935,784383,2095095,2095103
