Repository,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
aio-libs/aiohttp,4112,528400,528912,791056,793104,794128,826896,1842708,1875476,1875664,1875605,2072148,2072149,2072277,2014935,2080471,2080479,2097111,2097119
aleju/imgaug,524304,524816,528912,791056,531984,924176,925200,794133,925205,1973782,1973783,1973911,2039383,2072151,2072471,2088663,2088671,2088927,2097119
ansible/ansible,4112,528400,528912,530960,793104,794128,1841684,1842708,1973780,826965,2006549,2006551,2006741,2072151,2072279,2080471,2080727,2097111,2097119
apache/tvm,4112,528400,528912,530960,793104,924176,925200,925201,925206,957973,1973783,1973911,2006615,2072151,2072407,2072535,2080727,2097111,2097119
AUTOMATIC1111/stable-diffusion-webui,4112,528400,528912,530960,793104,1580560,1842704,1842708,826901,1908245,1875541,2006613,1941079,0,2080343,2080471,2080727,0,2097119
aws/aws-cli,4112,528400,528912,530960,793104,793232,1842704,1842708,1973780,957973,958037,2006613,2072149,2006743,2072279,2088663,2096855,2097111,2097119
babysor/MockingBird,4112,6160,6672,530960,793104,1841680,794132,826900,1875476,2006548,2022932,2006614,1875671,2072151,2023127,2088663,2088919,2097111,2097119
borgbackup/borg,4112,528400,268304,791056,793104,794128,794132,1842708,1875476,958036,1875605,2006613,1941205,0,2072279,2072287,2080727,0,2097119
certbot/certbot,4112,528400,6672,530960,793104,793108,794132,955921,1842709,1973781,2006549,1973847,2006741,2006743,2072279,2088663,2096855,2097111,2097119
Ciphey/Ciphey,4112,528400,790544,530960,793104,794128,794132,1842705,826901,2006546,1973845,2006677,2006615,2072151,2072279,2072535,2096855,2097111,2097119
comfyanonymous/ComfyUI,4112,6160,530448,530960,531984,794128,794132,1842708,957972,1973781,1875605,2006613,2006615,2072151,0,2072535,0,2097111,2097119
commaai/openpilot,2064,528400,528912,791056,793104,1580560,1842704,1842708,1875476,1875540,2006612,2006613,2006741,2023126,2088661,0,2088919,0,2097119
ddbourgin/numpy-ml,4112,528400,530448,530960,530961,662034,924177,925201,925203,1972883,1973783,966167,2006615,2006871,2006999,2088663,2080727,2080735,2097119
Delgan/loguru,4112,528400,530448,530960,662032,793105,793107,925201,925203,925207,1973783,2039319,958167,2072151,2072279,2072535,2088919,2080735,2097119
django/django,4112,528400,530448,792592,793104,1841680,826896,1842708,1875476,1875540,2006549,2072148,2072149,2072151,2014935,2080471,0,2096863,2097119
facebookresearch/ParlAI,4112,528400,530448,530960,792596,794128,794132,925204,1842709,826903,1842775,2006551,2006679,2006743,2014935,2072535,2096855,2080735,2097119
flairNLP/flair,4112,528400,528912,530960,793104,794128,794132,1842708,1875476,2006548,1941076,2072148,1949269,2072277,2072279,2072535,0,2097111,2097119
frappe/erpnext,4112,528400,530448,530960,792080,825872,794132,1875472,1875476,2006548,2006676,2006613,2006741,2023125,2031317,2088917,2031351,2031583,2097119
freqtrade/freqtrade,524304,528400,528912,530452,793104,794128,794132,1842705,925205,957973,958101,2006551,1990295,2006743,2072471,2007031,2088919,2088927,2097119
google/jax,4112,528400,6672,530960,793104,1841680,1842704,1842708,1875476,1973844,2006612,2006613,2072149,2080341,2072279,2088663,2096855,2097111,2097119
gradio-app/gradio,4112,4624,528912,530960,793104,793108,794132,1842708,1842709,1875477,1875733,892503,2006679,2006743,2072279,2072311,2088919,0,2097119
gunthercox/ChatterBot,4112,6160,530448,792592,531984,924176,925200,1973776,957969,1973782,2006549,2006551,2006615,2023063,2072279,2088663,2080727,2097111,2097119
hankcs/HanLP,4112,6160,530448,268816,793104,794128,1842704,925264,990740,892437,2039317,2006613,2072149,0,2072279,2072311,2080479,2080735,2097119
horovod/horovod,4112,528400,528912,791056,793104,794128,1841684,1842708,1973780,1875477,2006549,2039381,2072149,2072215,2072407,0,2088919,0,2097119
hpcaitech/ColossalAI,4112,266256,530448,792592,793104,794128,794129,925204,1842709,1973781,2006550,2006551,2006615,2072151,2023127,2072535,2080727,0,2097119
httpie/cli,4112,528400,528912,530960,793104,794128,794132,1842708,1842709,958036,2006676,2006613,2014869,2006743,2072279,2080471,2096855,2097111,2097119
huggingface/diffusers,4112,528400,530448,530960,530964,794128,794132,794133,925205,810581,2006549,2006551,2006615,2006871,2072407,2080599,2080727,0,2097119
huggingface/transformers,4112,528400,528912,530960,793104,794128,794132,925204,1973780,2006548,2006549,2039325,2072213,2072151,2006751,0,2088919,2097111,2097119
HumanSignal/label-studio,4112,528400,6672,530960,793104,794128,825936,1875472,1875476,1875540,2006612,1941077,1941079,0,2072285,2088663,2096855,2080759,2097119
ipython/ipython,524304,528400,528912,530960,661524,793105,924178,794131,925206,1973781,1973783,2006551,2006615,2023063,2072279,2072311,2080479,2097111,2097119
jantic/DeOldify,524304,4624,528912,530960,793104,792084,794132,826900,1850900,892500,1941076,1941204,1941206,1949397,1949405,2096853,2097109,0,2097119
