,repository
0,freqtrade_freqtrade
1,oobabooga_text-generation-webui
2,matplotlib_matplotlib
3,OpenBB-finance_OpenBBTerminal
4,huggingface_diffusers
5,pypa_pipenv
6,numpy_numpy
7,nicolargo_glances
8,lllyasviel_ControlNet
9,Lightning-AI_lightning
10,gradio-app_gradio
11,mindsdb_mindsdb
12,python-telegram-bot_python-telegram-bot
13,google_jax
14,gunthercox_ChatterBot
15,merenlab_anvio
16,pyecharts_pyecharts
17,ludwig-ai_ludwig
18,aleju_imgaug
19,twitter_the-algorithm-ml
20,unifyai_ivy
21,smicallef_spiderfoot
22,saltstack_salt
23,karlproject_karl
24,borgbackup_borg
25,pytorch_audio
26,facebookresearch_ParlAI
27,Mikubill_sd-webui-controlnet
28,pyodide_pyodide
29,spotDL_spotify-downloader
30,Rapptz_discord.py
31,networkx_networkx
32,OpenBMB_ChatDev
33,comfyanonymous_ComfyUI
34,apache_tvm
35,reflex-dev_reflex
36,flairNLP_flair
37,horovod_horovod
38,lllyasviel_Fooocus
39,PaddlePaddle_PaddleNLP
40,ultralytics_ultralytics
41,microsoft_nni
42,PrefectHQ_prefect
43,jina-ai_jina
44,mlc-ai_mlc-llm
45,quantopian_zipline
46,pytorch_vision
47,ranger_ranger
48,powerline_powerline
49,ddbourgin_numpy-ml
50,python_mypy
51,Delgan_loguru
52,aio-libs_aiohttp
53,mlflow_mlflow
54,HumanSignal_label-studio
55,RasaHQ_rasa
56,jantic_DeOldify
57,frappe_erpnext
58,spotify_luigi
59,Ciphey_Ciphey
60,recommenders-team_recommenders
61,aws_aws-cli
62,kivy_kivy
63,ipython_ipython
64,zhayujie_chatgpt-on-wechat
65,RaRe-Technologies_gensim
66,sanic-org_sanic
67,tiangolo_fastapi
68,babysor_MockingBird
69,yt-dlp_yt-dlp
70,PaddlePaddle_PaddleOCR
71,httpie_cli
72,nvbn_thefuck
73,openai_gym
74,certbot_certbot
75,huggingface_transformers
76,mitmproxy_mitmproxy
77,commaai_openpilot
78,ytdl-org_youtube-dl
79,Textualize_rich
80,django_django
81,hankcs_HanLP
82,ansible_ansible
83,psf_black
84,AUTOMATIC1111_stable-diffusion-webui
85,hpcaitech_ColossalAI
86,keras-team_keras
87,localstack_localstack
88,pytorch_pytorch
89,scrapy_scrapy
90,LAION-AI_Open-Assistant
91,pandas-dev_pandas
92,XX-net_XX-Net
93,microsoft_DeepSpeed
94,open-mmlab_mmdetection
95,geekcomputers_Python
96,huggingface_pytorch-image-models
97,encode_django-rest-framework
98,facebookresearch_detectron2
99,python-poetry_poetry
100,lm-sys_FastChat
101,geekan_MetaGPT
102,ray-project_ray
103,explosion_spaCy
104,sqlmapproject_sqlmap
105,streamlit_streamlit
